insulin nph human novolin n 100 unitml suspension subcutaneous as directed by prescriber	insulin nph human novolin n 100 unitml suspension 6376 units subcutaneous as directed by prescriber
patient arrives via emergency medical services unsteady gait assistance to cart history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	patient arrives carried history obtained from parent patient appears comfortable patient alert skin warm dry normal in color mucous membranes pink
nursing assessment patients provider will be contacted for additional advice and followup will take place with the caller	this information will be reviewed by the provider and the patient will be contacted with additional recommendations
community support resources utilized by the patientfamily women infants and children program wic and public health	community support resources utilized by the patientfamily women infants and children program wic minnesota family investment program mfip social worker is involved
no inability to speak or make normal sounds new confusion or inability to stay alert and awake sudden swelling of the lips tongue or mouth sudden severe swelling of the eyelids struggling to breathe even while inactive or resting abrupt onset of breathing problems that came over the course of a minute or two sudden onset of coughing choking or gagging due to inhaling something into the airway any chest pain or discomfort change in heart rate or rhythm or rapid or skipped heartbeats or noisy wheezy or raspy breathing that doesnt clear with coughing	no inability to speak or make normal sounds new confusion or inability to stay alert and awake sudden swelling of the lips tongue or mouth sudden severe swelling of the eyelids struggling to breathe even while inactive or resting abrupt onset of breathing problems that came over the course of a minute or two sudden onset of coughing choking or gagging due to inhaling something into the airway or change in heart rate or rhythm or rapid or skipped heartbeats
identified illness as a learning need no barriers to learning were identified teaching methods used included printed patient instructions	identified procedures tests or preps as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
patient arrives ambulatory gait steady history obtained from patient patient appears uncomfortable patient cooperative alert oriented to person place and time	patient appears in distress due to pain patient cooperative alert oriented to person place and time
identified illness as a learning need identified followup care as a learning need identified medications as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions patient verbalized an understanding of discharge teaching	identified injury as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
mother is blood type o is hepatitis b negative hiv negative and was found to be gbs negative	mother is blood type o is hepatitis b negative hiv negative and was found to be gbs positive
no new confusion or inability to stay alert and awake any chest pain or discomfort sudden current and excruciating ripping or stabbing pain characteristic of a dissecting aortic aneurysm newly painful or blue toes on one side currently struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand sit vomit that looks like ground coffee vomiting blood uncontrollable or continuous rectal bleeding black sticky tarlike stools heavy vaginal bleeding or purple or red rashblotches that stay when pressed by a glass purpural rash	no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting any chest pain or discomfort change in heart rate or rhythm or heart palpitations excessive sweating new weakness numbness or tingling on one half of the body an arm and leg or currently feeling like you are going to collapse every time you stand or sit up
instructions take one tablet prior to anticipated sexual activity maximum one tablet per day	instructions take two tablets by mouth in the morning and one tablet by mouth in the evening
the client verbalized understanding and consented to the plan of care and the goals established	the patient viewed the stay healthy while traveling video prior to the pretravel consultation
patient education patient was ready to learn no apparent learning barriers were identified	patient education ready to learn no apparently learning barriers were identified learning preferences include listening
patient will verbalize and demonstrate understanding of home exercise program following this therapy session	goals patient will demonstrate andor verbalize understanding of home exercise program in 12 sessions
complex assessment performed patient arrives ambulatory gait steady history obtained from patient patient appears uncomfortable patient cooperative alert oriented to person place and time	patient arrives via hospital wheelchair gait steady history obtained from patient patient appears generally ill patient cooperative alert oriented to person place and time
negative neurologic review of systems historian denies confusion dizziness focal weakness gait changes headache	negative gastrointestinal review of systems historian denies abdominal pain hematemesis hematochezia jaundice melena vomiting
explained diagnosis and treatment plan patientchildcare giver expressed understanding of the content	explained diagnosis and treatment plan patientchildcaregiver expressed understanding of the content and agreement with the plan of care
discussed with the patient the necessity of other members of the healthcare team both male and female participating in the procedure if needed	i discussed the risks the goals the alternatives and the necessity of other members of the health care team who would be participating in the procedures with this patient
educational literature developmentally age appropriate provided at todays visit including caring for your newborn	educational literature developmentally age appropriate provided at todays visit including pediatric health promotion visits and vaccination schedule feeding your baby during the first year
educational literature developmentally age appropriate provided at todays visit including caring for your ninemonthold	educational literature developmentally age appropriate provided at todays visit including caring for your three to fiveyearold
identified injury as a learning need identified followup care as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions patient demonstrated and verbalized an understanding of discharge teaching
the diagnosis and treatment plan were explained to the familycaregiver who expressed understanding of the information presented	i explained the diagnosis and treatment plan the caregiver expressed understanding of the content
i suggested that he observe an appropriate hearthealthy diet and that he exercise regularly	i suggested that she observe an appropriate hearthealthy diet and that she exercise regularly
no cloudy or foulsmelling urine blood in the urine new daytime wetting or new bedwetting	no cloudy or foulsmelling urine blood in the urine weak stream of urine dribbling at the end of your urine stream difficulty starting your urine stream new daytime wetting or new bedwetting
discussed the risks benefits alternatives and the necessity of other members of the healthcare team participating in the procedure	discussed risks goals alternatives advance directives and necessity of other members of the team participating in the procedure with spouse
the patient was instructed to contact their primary care provider for any further questions or concerns	the patient was instructed to contact their primary care provider if the aircast sp walker is not filling properly andor for any further questions
cholecalciferol vitamin d3 vitamin d3 2000 unit tablet 1 tablet by mouth one time daily	multivitaminsiron pediatric fruity chews chewable tablet 2 tablets by mouth one time daily
spiriva with handihaler 18 mcg capsule winhalation device 1 capsule by inhalation one time daily r	spiriva with handihaler 18 mcg capsule winhalation device 1 capsule by inhalation as directed by prescriber re
use the following splint care instructions and do the following frequently throughout the day	you should use the following splint care instructions and do the following frequently throughout the day
discussed the risks goals alternatives and the necessity of other members of the healthcare team participating in the procedure	discussed the risks benefits alternatives advanced directives and the necessity of other members of the healthcare team participating in the procedure
the patient will continue with physical therapy and rehabilitation exercises as described in the hospital	the patient was prepped and draped in the usual sterile fashion and placed in the lithotomy position
no fever each day for more than 72 hours fever that has recurred after 24 hours without fever or temperature of 103f 394c or greater in an adult	no fever each day for more than three days or fever that has recurred after 24 hours without fever
patient is ready to learn no apparent learning barriers were identified learning preferences include listening	ready to learn no apparent learning barriers were identified learning preferences include listening doing reading
d disposition ongoing assessment and treatment by the multidisciplinary team including disposition planning is underway	g ongoing assessment and treatment by the multidisciplinary team including disposition planning is under way
the presence of the above comorbid diagnoses increase the complexity of the management of the patients headaches	in review of the clients progress it has been determined that the client has obtained the maximum benefit from occupational therapy services
no two or more documented episodes of sinus infection in the last 12 months or antibiotics taken for sinus infection in the last 4 weeks	no eye pain not just irritation vision changes headache thats more severe than usual antibiotics taken for sinus infection in the last 4 weeks currently on antibiotics including minocycline or doxycycline or two or more documented episodes of sinus infection in the last 12 months
patient arrives via emergency medical services unsteady gait assistance to cart history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	patient arrives via stretcher history obtained from patient patient appears in distress due to pain patient cooperative alert oriented to person place and time
ready to learn no apparent learning barriers were identified in the familycaregiver learning preferences include listening	patient education ready to learn no apparent learning barriers were identified learning preferences included listening
i have personally interviewed and examined the patient and reviewed the medical history with the patient	the patient was offered the pamphlet acceptance the way to serenity and peace of mind
assessment of impairment severitycomplexity of illness the degree of impairment is exemplified by limited ability to apply prc concepts in the management of chronic pain	assessment of impairment severitycomplexity of illness the degree of impairment is exemplified by negative influence from living with chronic pain
risk and benefits of acupuncture discussed with patient and patient consents to proceed with treatment	the risks benefits and alternatives of the procedure were discussed with the patient and all questions were answered
patient arrives via hospital wheelchair gait steady history obtained from patient patient appears uncomfortable patient cooperative alert oriented to person place and time	patient arrives via emergency medical services unsteady gait lift to cart history obtained from patient and emergency medical services patient appears comfortable patient cooperative alert oriented to person place and time
no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand sit newly stiff or painful neck purple or red rashblotches that stay when pressed by a glass purpural rash or pain pressure or tightness in the chest jaw or arm	no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand or sit up vomit that looks like ground coffee vomiting blood black sticky tarlike stools uncontrollable or continuous rectal bleeding or purple or red rashblotches that stay when pressed by a glass purpuric rash
no chronic bronchitis chronic obstructive pulmonary disease copd or emphysema or unspecified lung disease	no heart problems cancer diabetes asthma chronic bronchitis chronic obstructive pulmonary disease copd or emphysema or unspecified lung disease
disp 100 tab directions one daily refill 3 times expire rx on 1 yr route oral	disp 90 tab directions one daily refill 3 times expire rx on 1 yr route po
respiratory assessment findings include respiratory effort easy respirations regular conversing normally no signs of distress breath sounds clear no associated cough noted fever	cardiovascular assessment findings include heart rate normal heart rhythm normal sinus no associated diaphoresis no associated dyspnea
patients age is 9 years of age to less than 18 years old administer inactivated influenza virus vaccine fluzone 05 ml intramuscular	administer inactivated influenza virus vaccine fluzone only 025 ml intramuscularly once
albuterol 90 mcgact hfa aerosol 12 puffs by inhalation as directed by prescriber as needed	albuterol proventilventolin 90 mcgact hfa aerosol 26 puffs by inhalation every 4 hours
goals patient will verbalize and demonstrate understanding of home exercise program following this therapy session	patient will demonstrate andor verbalize understanding of home exercise program in 1 sessions for improved self management of the condition
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions patient verbalized an understanding of discharge teaching	identified injury as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions
patient discharged to home ambulating without assistance family driving accompanied by parent discharge instructions given to patient discharge instructions given to mother above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance friend driving above persons verbalized understanding of discharge instructions and followup care
f or 38 c or suspected fever rash white patches on lips tongue or mouth other than throat blisters in the mouth swollen or bull neck hoarseness or lost voice or ear pain	f or 38 c or suspected fever multiple cold symptoms itchy eyes or nose or itching on the roof of the mouth or in the throat hoarseness or lost voice bad breath or ear pain
identified injury as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified injury as a learning need identified followup care as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions
ready to learn no apparent learning barriers were identified learning preference include listening	ready to learn no apparent learning barriers were identified in the familycaregiver learning preferences include listening
the patient will continue in the early recovery group including 60 minutes of group therapy twice weekly for approximately 6 weeks	the patient will continue in the outpatient addiction program including 60 minutes of psychoeducational group therapy and 90 minutes of process group therapy daily
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified injury as a learning need identified followup care as a learning need identified medications as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching
no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand or sit up purple or red rashblotches that stay when pressed by a glass purpuric rash or new neck pain and difficulty bending the neck	no new confusion or inability to stay alert and awake change in heart rate or rhythm or rapid or skipped heartbeats struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand or sit up muscle weakness or poor coordination or numbness tingling weakness or paralysis
combivent ipratropiumalbuterol 18103 mcgactuation aerosol 2 puffs by inhalation four times a day	combivent 18103 mcgactuation aerosol 2 puffs by inhalation four times a day 1 months supply
no inability to speak or make normal sounds new confusion or inability to stay alert and awake complete inability to swallow sudden onset of cough choking or gagging after inhaling something into your airway pain pressure or tightness in the chest arms or shoulders jaw or neck large amounts of pink or white frothy sputum or noisy wheezy or raspy breathing that does not clear with coughing	no inability to speak or make normal sounds new confusion or inability to stay alert and awake sudden swelling of the lips tongue or mouth sudden severe swelling of the eyelids abrupt onset of breathing problems that came over the course of a minute or two sudden onset of coughing choking or gagging due to inhaling something into the airway change in heart rate or rhythm or rapid or skipped heartbeats or noisy wheezy or raspy breathing that doesnt clear with coughing
this note does not belong to this patient and has been transferred to the correct medical record	phq9 form was not given to the patient today as they have recently completed this screening
patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need identified procedures tests or preps as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified involved family member or primary caregiver to address barriers to learning teaching methods used included printed patient instructions verbal instructions return demonstration patient demonstrated and verbalized an understanding of discharge teaching
patient verbalized a good understanding of the role of leisure for maintaining good mental health	the patient verbalized understanding of these concepts and based development of goals for current sleep plan based on translation of how these concepts apply to their current lifestyle
response to the advice given patientcaller indicates a verbal understanding of advice given	the patient was able to verbalize understanding of all instructions provided during this session
discussed the risks the goals the alternatives advance directives and the necessity of other members of the health care team who would be participating in the procedures with the patient	i discussed the risks the goals the alternatives and the necessity of other members of the health care team who would be participating in the procedures with this patient
consent form reviewed dated and signed by participant and consent cosigner rw sc	consent form reviewed dated and signed by participant and consent cosigner tm sc
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions	identified followup care as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions
the patient will continue in the outpatient addiction program including 60 minutes of psychoeducational group therapy and 90 minutes of process group therapy daily for approximately 34 weeks	the patient will continue in the early recovery group including 60 minutes of group therapy twice weekly for approximately 6 weeks
procedural pause conducted to verify the following correct patient identity procedure to be performed and as applicable correct side and site correct patient position and availability of implants special equipment or special requirements	procedural pause conducted to verify correct patient identity procedure to be performed and as applicable correct patient position and availability of implants special equipment or special requirements
explained diagnosis and treatment plan patientchildcaregiver expressed understanding of the content	explained diagnosis and treatment plan patient expressed adequate understanding of the information presented today
identified illness as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included verbal instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified involved family member or primary caregiver to address barriers to learning teaching methods used included printed patient instructions patient verbalized an understanding of discharge teaching
patient is here for the following immunizations inactivated influenza virus vaccination tetanus and diphtheria and acellular pertussis tdap vaccine	patient is here for the following immunizations inactivated influenza virus vaccination hepatitis a vaccination
patient is on longterm anticoagulation for protein c deficiency and history of right axillary artery occlusion	patient is on long term anticoagulation for pe with respiratory arrest and anoxic brain injury
f 38 c or suspected fever severe widespread muscle aches abdominal pain pain when passing urine or cloudy or foulsmelling urine	f 38 c or suspected fever pain when passing urine blood in the urine urgent need to urinate urinating more often than usual cloudy or foulsmelling urine vomiting or new changes in sensation associated with neck or back pain
patient discharged to home ambulating without assistance driving self unaccompanied above persons verbalized understanding of discharge instructions and followup care	patient discharged to home ambulating without assistance accompanied by parent discharge instructions given to mother discharge instructions given to father
polyethylene glycol 3350 miralax 17 gram powder in packet 1 packet by mouth one time daily as needed	polyethylene glycol 3350 miralax 17 gramdose powder 8517 grams by mouth one time daily as needed refil
explained diagnosis and treatment plan patientparents expressed understanding of the content	patient education i explained the diagnosis and treatment plan for the patient who expressed understanding of the content
patients age is 9 years of age to less than 18 years old administer inactivated influenza virus vaccine fluzone 05 ml intramuscular	patients age is 6 months to less than 36 months administer inactivated influenza virus vaccine 025 ml intramuscular
no inability to speak or make normal sounds new confusion or inability to stay alert and awake sudden swelling of the lips tongue or mouth struggling to breathe even while inactive or resting pain pressure or tightness in the chest arm or shoulder jaw or neck or currently feeling like you are going to collapse every time you stand or sit up	no new confusion or inability to stay alert and awake inability to speak or make normal sounds currently struggling to breathe even while inactive or resting sudden swelling of the lips tongue or mouth or currently feeling like she is going to collapse every time she stands sits
patient education ready to learn no apparent learning barriers were identified learning preferences include listening	social work impressions patient educational needs patient assessed ready to learn no apparent learning barriers
neurologic hand sensory change no right and left foot sensory change no right and left painful no right and left	eye pupils dilated background retinopathy yes right and left macular edema no right and left proliferative retinopathy no right and left
disp 100 tab directions one every bedtime refill 3 times expire rx on 1 yr route oral	disp 20 tab directions onetwo q46h prn pain refill none expire rx on none route oral
no fever each day for more than 72 hours fever that has recurred after 24 hours without fever or temperature of 103f 394c or higher in an adult	no fever that has recurred after 24 hours without fever fever each day for more than 72 hours or temperature of 103f 394c or greater in an adult
patient arrives via stretcher via emergency medical services unsteady gait lift to cart history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time	patient arrives via personal wheelchair unsteady gait inability to ambulate history obtained from patient patient appears comfortable patient cooperative alert oriented to person place and time
no fever each day for more than three days fever that has recurred after 24 hours without fever or temperature of 103 f 394 c or more	no fever each day for more than three days fever that has recurred after 24 hours without fever temperature higher than 104 f or 40 c or recurrent unexplained fevers over several weeks
procedural pause conducted prior to each stage of procedure to verify correct patient identity procedure to be performed and as applicable correct side and site special equipment or special requirements	procedure pause conducted to verify correct patient identity procedure to be performed and as applicable correct side and site correct patient position and availability of implants special equipment or special requirements
no new confusion or inability to stay alert and awake currently struggling to breathe even while inactive or resting currently feeling like you are going to collapse every time you stand sit any chest pain or discomfort vomit that looks like ground coffee vomiting blood uncontrollable or continuous rectal bleeding black sticky tarlike stools heavy vaginal bleeding or purple or red rashblotches that stay when pressed by a glass purpural rash	no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting currently feeling like she is going to collapse every time she stands or sits up vomit that looks like ground coffee vomiting blood bilestained vomiting uncontrollable or continuous rectal bleeding black sticky tarlike stools or purple or red rashblotches that stay when pressed by a glass purpural rash
patient has not returned to the travel and tropical medicine clinic for ppd testing despite having been sent a reminder to schedule an appointment	patient has not returned to the travel and tropical medicine clinic for the 2 hepatitis a vaccination despite having been sent two reminders to schedule an appointment
peripheral iv site established in the left forearm using an 18 gauge catheter in one attempt	iv therapy indicated for hydration iv established to the right antecubital using an 18 gauge catheter in one attempt
no fever each day for more than three days fever that has recurred after 24 hours without fever or temperature of 103 f 394 c or more	no fever that has recurred after 24 hours without fever or temperature of 103f 394c or greater in an adult
patient discharged to home ambulating without assistance family driving accompanied by other family member above persons verbalized understanding of discharge instructions and followup care	patient discharged to home carried accompanied by parent above persons verbalized understanding of discharge instructions and followup care
pain scalethe numeric pain scale was used to identify the patients level of pain 0 no pain and 10 worst possible pain	patient rates her pain at the end of todays physical therapy session a 0 on a scale of 010 with 0 no pain and 10 worst pain
recheck if not resolved in one week or recheck if breathing or swallowing problems or worsening symptoms occur	additional follow up advised to recheck with primary provider in one week or to recheck sooner if worse in any way recheck if breathing problems swallowing problems or worsening symptoms occur medications and side effects discussed
identified illness as a learning need no barriers to learning were identified teaching methods used included printed patient instructions	identified followup care as a learning need no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions
discussed the risks the goals the alternatives advance directives and the necessity of other members of the health care team who would be participating in the procedures with the patient	i reviewed pertinent records examined the patient and discussed the plan of care with rcu team at the bedside
patient discharged to home ambulating without assistance family driving accompanied by parent discharge instructions given to mother	patient discharged to home ambulating without assistance transported via taxi unaccompanied
barriers assessed cultural religiousspiritual motivational physicalcognitive language emotional no barriers present ready to learn	barriers to learning cultural religiousspiritual motivational physicalcognitive language emotional no apparent barriers to learn present ready to learn
discussed the risks benefits alternatives advance directives and the necessity of other members of the healthcare team participating in the procedure	discussed risks goals alternatives and advanced directives the necessity of other members of the healthcare team participating in the procedure with the patient or legal representative and others present during the discussion
spiriva with handihaler 18 mcg capsule winhalation device 1 capsule by inhalation one time daily	spiriva with handihaler 18 mcg capsule winhalation device 1 capsule by inhalation one time daily as needed
cf is an autosomal recessive condition and therefore each parent would have to carry one nonworking copy of the cf gene in order to be at risk for having a child with cf	cf is an autosomal recessive condition meaning that an individual must have a mutation in both copies of the cftr gene one inherited from the mother and one from the father to be affected
no foreign body in the eye child appears sick or not well outer eyelid or area around eye appears very red and warm area around eye is swollen or eye is almost swollen shut eye pain not just irritation eyes are sensitive to light patient has an immune system problem or a new change in vision	no foreign body in the eye outer eyelid or area around eye appears very red and warm area around eye is swollen or eye is almost swollen shut eye pain not just irritation eyes are sensitive to light patient has an immune system problem or a new change in vision
discussed the risks goals alternatives and advanced directives and the necessity of other members of the healthcare team participating in the procedure with the patient or legal representative and other present during the discussion	discussed the risks benefits and alternatives of the procedure and advance directives and the necessity of other members of the healthcare team participating in the procedure
no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand sit purple or red rashblotches that stay when pressed by a glass purpural rash newly stiff or painful neck or puffiness around the eyes	no new confusion or inability to stay alert and awake currently feeling like you are going to collapse every time you stand sit complete inability to swallow newly painful neck with difficulty bending the neck purple or red rashblotches that stay when pressed by a glass purpural rash or pain pressure or tightness in the chest jaw or arm
albuterol aerosol 90 mcgactuation 2 puffs by inhalation as directed by prescriber as needed	lorazepam ativan onehalf mg tablet 12 tablets by mouth as directed by prescriber as needed
the above was discussed with the patient and she voiced understanding of the content and plan	patient education i explained the diagnosis and treatment plan for the patient who expressed understanding of the content
instructions 1 drop 4 times per day for 1 week then 1 drop 3 times per day for 1 week then 1 drop 2 times per day for 1 week then 1 drop 1 time per day for 1 week then stop	instructions use 1 drop 4 times daily for 1 week then 1 drop 3 times daily for 1 week then 1 drop 2 times daily for 1 week then 1 drop 1 time daily for 1 week then stop
i explained the diagnosis and treatment plan in detail and the patient clearly expressed understanding of the content reviewed	began discussion of diagnosis and treatment of chronic pain and chronic fatigue patient expressed understanding of the content
patient educational needs patient assessed ready to learn no apparent learning barriers	patient education mother and patient demonstrated readiness to learn and i identified no apparent learning barriers
learns best by verbal instructions as procedure is being performed reading seeing listening doing	learns best by verbal instructions while procedure is being performed reading seeing listening doing
after informed consent was obtained the patient was brought to the ultrasound area and placed on the examination table in the lithotomy position	i reviewed pertinent records examined the patient and discussed the plan of care with rcu team at the bedside
individual is able to understand limited conversations about routine daily activities with familiar communication partners	current level 4 the individual is successfully able to initiate communication using spoken language in simple structured conversations in routine daily activities with familiar communication partners
patient education ready to learn no apparent learning barriers were identified learning preferences include listening	patient educational needs patient assessed ready to learn no apparent learning barriers
please avoid submerging the surgical incision in standing bodies of water for a period of at least 6 weeks	please avoid submerging the surgical incision in water such as bath pools or hot tubs for a period of at least 6 weeks after surgery
procedural pause conducted prior to each stage of procedure to verify correct patient identity procedure to be performed and as applicable correct side and site special equipment or special requirements	procedural pause conducted to verify correct patient identity procedure to be performed and as applicable correct side and site correct patient position and special equipment or special requirements
explained sleep issues diagnosis and treatment plans patient expressed understanding of the content	i explained the diagnosis and treatment plan the patient asked appropriate questions and expressed understanding of our discussion
explained diagnosis and treatment plan patientguardian of patient expressed understanding of the content	explained diagnosis and treatment plan patientchildcaretaker expressed understanding of the content
i have personally interviewed and examined the patient and reviewed the medical history with the patient	the above was discussed with the patient and she voiced understanding of the content and plan
based on the patients itinerary and medical history written information per stay healthy while traveling will be provided and reviewed at nurse visit for general insect bite precautions insect repellent use and permethrin use	based on the patients itinerary and medical history the following was advised and written information was provided general insect bite precautions insect repellent use deet and permethrin use
patient discharged to home ambulating without assistance family driving accompanied by other family member discharge instructions given to patient	patient discharged to home ambulating without assistance family driving accompanied by other family member discharge instructions given to patient simple or moderate discharge teaching performed by t rn
no night sweats unintentional weight loss of over 5 percent of body weight or 10 lbs or that seems significant generalized muscle aches not from overuse or extreme fatigue or exhaustion	no night sweats unintentional weight loss of over 5 percent of body weight or 10 lbs or that seems significant or generalized muscle aches not from overuse
no new confusion or inability to stay alert and awake severe lethargy or floppiness refusing to move neck current or recent seizure highpitched cry like a cats cry or a weak whimper or moaning cry that is not consolable purple or red rashblotches that stay when pressed by a glass purpural rash or bulging or tense fontanel soft spot on the head when not crying	no new confusion or inability to stay alert and awake floppiness or fainting purple or red rashblotches that stay when pressed by a glass purpuric rash or refusing to move the neck
the patient expresses emotional and cognitive understanding of problems related to alcohol and other drug use and describes needed behavior change	he offers verbalizations that indicate emotional and cognitive understanding of problems related to drugalcohol use and describes needed behavior change
patient education ready to learn no apparent learning barriers were identified learning preferences include listening	patient education patient was ready to learn no apparent learning barriers were identified
informed consent discussed risks goals alternatives and the necessity of other members of the healthcare team participating in the procedure with the patient and obtained informed consent	informed consent i discuss the risks benefits alternatives and the necessity of other members of the healthcare team participating in the procedure
no currently inconsolable crying vomiting diarrhea not feeding normally poor weight gain or jaundice	no currently inconsolable vomiting diarrhea not eating normally poor weight gain or jaundice
skin assessment findings include skin warm dry normal in color inspection findings include laceration	skin assessment findings include skin warm dry normal in color inspection findings include signs of trauma
no fever present greater than or equal to 1004 f or 38 c or suspected fever multiple cold symptoms headache very itchy eyes nose or throat hoarseness or lost voice bad breath or ear pain	no fever present greater than or equal to 1004 f or 38 c or suspected fever headache puffiness around the eyes very itchy eyes nose or throat hoarseness or lost voice bad breath or ear pain
parent comfortable with information and will call back with any other questions or concerns	the patient verbalized understanding of information and will call with further questions or concerns
informed consent discussed risks goals alternatives and the necessity of other members of the healthcare team participating in the procedure with the patient and obtained informed consent	i discussed the situation in detail with the patient including diagnosis pathology planned operation objective risks benefits alternatives and the necessity of other members of the surgical team participating in the procedure
no new confusion or inability to stay alert and awake severe lethargy or floppiness refusing to move the neck current or recent seizure highpitched cry like a cats cry or a weak whimper or moaning cry that is not consolable purple or red rashblotches that stay when pressed by a glass purpuric rash or bulging or tense fontanel soft spot on the head when not crying	no inability to stay alert and awake severe lethargy or floppiness current or recent seizure highpitched cry like a cats cry or a weak whimper or moaning cry that is not consolable purple or red rashblotches that stay when pressed by a glass purpuric rash bulging or tense fontanel soft spot on the head when not crying fever rectal temperatureof more than 1004
no currently struggling to breathe even while inactive or resting currently feeling faint or passing out or new confusion or inability to stay alert and awake	no new confusion or inability to stay alert and awake new shortness of breath new wheezing or chest tightness or raised red or white itchy rash that comes and goes hives
identified illness as a learning need identified followup care as a learning need patients primary language is english no barriers to learning were identified no interventions were used to address barriers to learning teaching methods used included printed patient instructions verbal instructions patient verbalized an understanding of discharge teaching	identified illness as a learning need patients primary language is english no barriers to learning were identified involved family member or primary caregiver to address barriers to learning teaching methods used included printed patient instructions
discussed the necessity of other members of the healthcare team participating in the procedure	informed consent i discuss the risks benefits alternatives and the necessity of other members of the healthcare team participating in the procedure
patient is comfortable with information and will call back with any other questions or concerns or worsening symptoms	notified the patient of the recommendations and she had no further questions or concerns at this time
we discussed the procedure itself and the fact that he would need someone else to drive him home following the procedure	the risks and benefits of the procedure were discussed and the patient consented to the procedure
discussed the risks goals alternatives and advanced directives and the necessity of other members of the healthcare team participating in the procedure with the patient or legal representative and other present during the discussion	discussed advanced directives and the necessity of other members of the healthcare team participating in the procedure with the patient and whomever else is present
additional follow up advised to recheck with primary provider in one week or to recheck sooner if worse in any way	strep screen treat per protocol symptomatic relief discussed advised to recheck if not resolved in one week or sooner if worse in any way
no fever each day for more than 72 hours fever that has recurred after 24 hours without fever or temperature of 103f 394c or greater in an adult	no temperature of 103 f 394 c or more fever each day for more than three days fever that has recurred after 24 hours without fever or recurrent unexplained fevers over several weeks
no new confusion or inability to stay alert and awake struggling to breathe even while inactive or resting any chest pain or discomfort change in heart rate or rhythm or palpitations excessive sweating new weakness numbness or tingling on one half of the body an arm and leg or currently feeling like you are going to collapse every time you stand or sit up	no new confusion or inability to stay alert and awake currently struggling to breathe even while inactive or resting any chest pain or discomfort change in heart rate or rhythm or palpitations profuse sweating or new weakness numbness or tingling on one half of the body arm and leg
